success,video_path,starts,ends,text,formatted_data
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/54322086@N00_2408598493_274c77d26a.avi,tensor([[0]]),tensor([[31]]),a brown rat goes into someone's hand then onto a cage. a brown rat climbs on top of its cage. A person helps the light colored mouse move off the chair and onto the cage. grey rat eats from dish a rat jumps into a mans hand.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_0.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/99051133@N00_2502628368_d14bd317de.mov,tensor([[0]]),tensor([[31]]),an orange kitten is sitting then gets up and walks away. It looks a yellow kitten staring at the camera. kitten stares at camera and backs away. camera turns to orange kitten,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_1.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/67801451@N00_5358663022_243bd90fbc.mov,tensor([[0]]),tensor([[31]]),a person walks outside and then back in a man put down a blue umbrella. a woman with blue umbrella sheltering from the rain is. A man with a blue umbrella runs across a lawn then runs back with a black box.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_2.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/64379474@N00_4479342537_7b5a3d3f1d.avi,tensor([[0]]),tensor([[31]]),the guards spin around 180 degrees two men on the right turn around to see the man on the left. Marchers turn around to face one remaining marcher the guards march down the steps. two men walking towards one man,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_3.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/63122283@N06_9978694646_e72011157f.mov,tensor([[0]]),tensor([[31]]),"the plane flies off the roof the plane goes across the roof of a building. The big white plane begins to take off and quickly drops something into the water as it nose dives.  A plane flies off of a building. Plane takeoff.
",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_4.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/38928586@N07_12110094074_85bfd8e4bb.mov,tensor([[0]]),tensor([[31]]),a young girl on a tricycle points at something. little girl turns toward the camera and starts to clap. A little boy is riding his bike then he lifts his arm and points. a boy points as he rides a tricycle. the little boy points at something off camera.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_5.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/32005048@N06_5252757341_6749a9a2bd.mpg,tensor([[0]]),tensor([[31]]),a bird runs behind a tree. little black bird pops out from behind a tree. the bird appears from behind the tree. the bird runs and disappears behind the tree.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_6.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/38438821@N05_3967168792_18cfde0fc5.mov,tensor([[0]]),tensor([[31]]),a woman in a gray jacket smiles at the camera. lady is talking to the camera and it starts to turn clockwise. the camera moves from a woman to the misty sky.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_7.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/51371187@N00_9093287754_675a283d41.mov,tensor([[0]]),tensor([[31]]),a woman reaches into her purse and pulls out a phone. the lady who is holding the little boy picks him up. A woman picks up a little boy. lady lifts up child,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_8.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/55016393@N00_3335074996_39dd2e0278.avi,tensor([[0]]),tensor([[31]]),a brown dog runs to retrieve a red ball. dog runs away then comes back A dog runs down a hallway and brings something back in its mouth. Boxer runs to get toy dog brings red ball back.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_9.pth
